"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 22 17:20:53 GMT 2026","Fri May 22 17:20:53 GMT 2026","1","tests.ai_edited_test.quantization","test_ai_ckpt_quant_utils","TestQdqWeight","","","test_quantize_basic","Test basic quantization."
"passed","Fri May 22 17:20:51 GMT 2026","Fri May 22 17:20:51 GMT 2026","4","tests.ai_edited_test.nn","test_ai_moe_allgather_layer","TestMOEAllGatherLayerV2ForwardExperts","","","test_forward_experts_all_none","Test forward_experts handles None inputs gracefully for inactive experts."
"passed","Fri May 22 17:20:50 GMT 2026","Fri May 22 17:20:50 GMT 2026","1","tests.ai_edited_test.nn","test_ai_embedding","TestEmbedding","","","test_embedding_create_explicit_type","Explicit embedding_type should override config detection."
"passed","Fri May 22 17:01:52 GMT 2026","Fri May 22 17:01:52 GMT 2026","23","tests.transformers.auto","test_modeling","AutoModelTest","","","test_from_aistudio",""
"skipped","Fri May 22 17:10:46 GMT 2026","Fri May 22 17:10:46 GMT 2026","0","tests.transformers.qwen2","test_modeling","Qwen2ModelTest","","","test_training_gradient_checkpointing",""
"skipped","Fri May 22 17:20:54 GMT 2026","Fri May 22 17:20:54 GMT 2026","0","tests.ai_edited_test.transformers","test_ai_auto_utils","TestGetMesh","","","test_get_mesh_no_pp_idx",""
"passed","Fri May 22 17:20:51 GMT 2026","Fri May 22 17:20:51 GMT 2026","0","tests.ai_edited_test.nn","test_ai_moe_abstract","TestMOELayerBase","","","test_import","Test that MOELayerBase can be imported."
"passed","Fri May 22 17:20:53 GMT 2026","Fri May 22 17:20:53 GMT 2026","3","tests.ai_edited_test.nn","test_ai_topk_gate","TestTopKGateForward","","","test_forward_transform_weight_false","Test forward with transform_weight=False."
"passed","Fri May 22 17:20:40 GMT 2026","Fri May 22 17:20:40 GMT 2026","0","tests.ai_edited_test.cli","test_ai_dpo_trainer","TestDPOTrainerInit","","","test_no_ref_no_reference_free_conflict","Test that not reference_free and no ref_model is a conflict (unless lora)."
"passed","Fri May 22 17:14:30 GMT 2026","Fri May 22 17:14:32 GMT 2026","1731","tests.transformers.qwen2_vl","test_processor","Qwen2VLProcessorTest","","","test_structured_kwargs_nested_from_dict",""
"passed","Fri May 22 17:20:50 GMT 2026","Fri May 22 17:20:50 GMT 2026","0","tests.ai_edited_test.nn","test_ai_general","TestGeneralInterface","","","test_getitem_local_override","Local mapping should take precedence over global mapping."
"passed","Fri May 22 17:07:34 GMT 2026","Fri May 22 17:07:34 GMT 2026","44","tests.transformers.glm_ocr","test_modeling","GlmOcrModelTest","","","test_forward_without_images","Pure text input (no pixel_values / image_grid_thw) should not raise error."
